,^NYICDX,TWD=X,JPY=X,CNY=X,CNH=X,2330.TW,2454.TW,2303.TW,2317.TW,2382.TW,3231.TW,2603.TW,2609.TW,2615.TW,9921.TW,9914.TW
2025-08-18,98.2699966430664,30.025100708007812,147.91600036621094,7.184599876403809,6.741720199584961,1185.0,1390.0,41.04999923706055,208.0,268.0,115.5,194.5,60.29999923706055,85.5,103.5,105.0
2025-08-19,98.2699966430664,30.1072998046875,147.7310028076172,7.1819000244140625,6.741720199584961,1185.0,1390.0,41.04999923706055,208.0,268.0,115.5,194.5,60.29999923706055,85.5,103.5,105.0
2025-08-20,98.22000122070312,30.280099868774414,147.3179931640625,7.1757001876831055,6.741720199584961,1135.0,1355.0,41.900001525878906,200.5,259.5,113.5,192.5,60.400001525878906,86.5,103.0,105.5
2025-08-21,98.62000274658203,30.516000747680664,148.38600158691406,7.179900169372559,6.741720199584961,1150.0,1365.0,41.400001525878906,206.0,259.0,111.5,194.0,60.599998474121094,85.69999694824219,104.0,109.5
2025-08-22,97.72000122070312,30.516000747680664,148.38600158691406,7.179900169372559,6.741720199584961,1135.0,1365.0,40.599998474121094,202.5,258.5,112.0,190.5,59.599998474121094,84.0999984741211,103.0,108.0
2025-08-24,97.72000122070312,30.367300033569336,147.21499633789062,7.167500019073486,6.741720199584961,1135.0,1365.0,40.599998474121094,202.5,258.5,112.0,190.5,59.599998474121094,84.0999984741211,103.0,108.0
2025-08-25,98.43000030517578,30.444000244140625,147.82200622558594,7.151000022888184,6.741720199584961,1170.0,1410.0,40.54999923706055,207.5,268.0,113.5,189.0,59.20000076293945,83.80000305175781,105.5,111.0
2025-08-26,98.2300033569336,30.546600341796875,147.46200561523438,7.1519999504089355,6.741720199584961,1175.0,1400.0,41.79999923706055,209.0,265.0,113.0,188.5,59.0,83.5999984741211,103.0,111.0
2025-08-27,98.2300033569336,30.575000762939453,147.3159942626953,7.1529998779296875,6.741720199584961,1190.0,1400.0,40.95000076293945,208.0,269.0,115.0,188.0,58.599998474121094,83.4000015258789,105.0,112.5
2025-08-28,97.80999755859375,30.492799758911133,146.7899932861328,7.1529998779296875,6.741720199584961,1160.0,1385.0,40.599998474121094,206.0,266.0,115.0,188.0,58.79999923706055,84.0999984741211,104.5,112.5
2025-08-29,97.7699966430664,30.492799758911133,146.7899932861328,7.1529998779296875,6.741720199584961,1160.0,1370.0,40.5,203.5,262.5,113.0,185.5,57.70000076293945,82.80000305175781,105.0,113.5
2025-08-31,97.7699966430664,30.56049919128418,147.0970001220703,7.13040018081665,6.741720199584961,1160.0,1370.0,40.5,203.5,262.5,113.0,185.5,57.70000076293945,82.80000305175781,105.0,113.5
2025-09-01,97.7699966430664,30.62529945373535,147.08399963378906,7.13040018081665,6.741720199584961,1165.0,1360.0,40.75,198.5,256.0,109.5,184.0,57.20000076293945,81.4000015258789,103.0,112.5
2025-09-02,98.4000015258789,30.743999481201172,148.54800415039062,7.138999938964844,6.741720199584961,1160.0,1360.0,40.900001525878906,198.5,253.5,110.0,183.0,56.900001525878906,80.5999984741211,103.0,114.0
2025-09-03,98.13999938964844,30.722000122070312,147.97999572753906,7.14139986038208,6.741720199584961,1160.0,1395.0,40.900001525878906,200.5,253.5,110.0,183.0,57.400001525878906,80.69999694824219,101.0,110.5
2025-09-04,98.3499984741211,30.694000244140625,148.375,7.14139986038208,6.741720199584961,1160.0,1385.0,42.0,203.0,257.0,113.0,185.0,58.0,82.4000015258789,103.5,114.0
2025-09-05,97.7699966430664,30.694000244140625,148.375,7.14139986038208,6.741720199584961,1180.0,1435.0,41.20000076293945,205.0,258.5,115.5,186.5,57.900001525878906,82.19999694824219,103.5,113.0
2025-09-07,97.7699966430664,30.479000091552734,148.343994140625,7.132500171661377,6.741720199584961,1180.0,1435.0,41.20000076293945,205.0,258.5,115.5,186.5,57.900001525878906,82.19999694824219,103.5,113.0
2025-09-08,97.44999694824219,30.331100463867188,147.36399841308594,7.129300117492676,6.741720199584961,1180.0,1430.0,41.599998474121094,203.5,260.0,114.5,186.5,57.70000076293945,82.19999694824219,105.5,112.5
2025-09-09,97.79000091552734,30.351600646972656,147.39199829101562,7.1209001541137695,6.741720199584961,1200.0,1510.0,41.45000076293945,207.5,262.5,116.0,184.5,57.099998474121094,81.19999694824219,102.5,109.0
2025-09-10,97.77999877929688,30.236799240112305,147.33200073242188,7.120699882507324,6.741720199584961,1225.0,1490.0,41.25,210.0,273.0,120.0,185.5,56.79999923706055,80.9000015258789,103.0,109.5
2025-09-11,97.54000091552734,30.290000915527344,147.2239990234375,7.1184000968933105,6.741720199584961,1240.0,1480.0,40.900001525878906,214.5,270.0,119.0,183.0,55.5,79.0,100.5,107.0
2025-09-12,97.55000305175781,30.290000915527344,147.2239990234375,7.1184000968933105,6.741720199584961,1260.0,1485.0,41.150001525878906,217.5,274.0,120.0,185.5,56.5,80.0,102.5,107.5
2025-09-14,97.55000305175781,30.284900665283203,147.66600036621094,7.124199867248535,6.741720199584961,1260.0,1485.0,41.150001525878906,217.5,274.0,120.0,185.5,56.5,80.0,102.5,107.5
2025-09-15,97.30000305175781,30.19409942626953,147.40499877929688,7.118500232696533,6.741720199584961,1255.0,1485.0,41.099998474121094,216.0,276.0,119.5,183.5,56.0,79.5999984741211,103.0,108.0
2025-09-16,96.62999725341797,30.047199249267578,146.41299438476562,7.114200115203857,6.741720199584961,1280.0,1535.0,41.04999923706055,215.5,273.5,118.0,183.5,56.0,80.4000015258789,103.5,109.0
2025-09-17,96.87000274658203,30.08639907836914,146.89100646972656,7.103300094604492,6.741720199584961,1265.0,1510.0,41.45000076293945,212.0,273.0,119.0,183.5,56.099998474121094,80.19999694824219,103.0,110.0
2025-09-18,97.3499984741211,30.11050033569336,147.94700622558594,7.1128997802734375,6.741720199584961,1285.0,1510.0,41.79999923706055,215.0,279.5,120.0,184.5,56.099998474121094,80.9000015258789,103.0,112.0
2025-09-19,97.63999938964844,30.11050033569336,147.94700622558594,7.1128997802734375,6.741720199584961,1265.0,1440.0,43.25,214.0,281.0,121.0,188.5,57.099998474121094,81.5,100.5,108.5
2025-09-21,97.63999938964844,30.215999603271484,148.09500122070312,7.1128997802734375,6.741720199584961,1265.0,1440.0,43.25,214.0,281.0,121.0,188.5,57.099998474121094,81.5,100.5,108.5
2025-09-22,97.33000183105469,30.21769905090332,147.72500610351562,7.113999843597412,6.741720199584961,1295.0,1405.0,43.04999923706055,216.0,281.0,121.5,183.5,55.900001525878906,79.30000305175781,101.5,109.0
2025-09-23,97.26000213623047,30.27400016784668,147.61300659179688,7.111599922180176,6.741720199584961,1340.0,1375.0,43.900001525878906,221.0,286.5,122.5,182.0,55.20000076293945,77.9000015258789,101.0,108.0
2025-09-24,97.87000274658203,30.364099502563477,148.75100708007812,7.131499767303467,6.741720199584961,1340.0,1330.0,44.849998474121094,223.0,283.5,121.5,180.5,55.0,76.80000305175781,100.5,107.5
2025-09-25,98.55000305175781,30.561500549316406,149.86099243164062,7.133800029754639,6.741720199584961,1320.0,1345.0,44.29999923706055,230.0,285.0,125.5,180.0,55.0,76.19999694824219,99.9000015258789,105.0
2025-09-26,98.1500015258789,30.561500549316406,149.86099243164062,7.133800029754639,6.741720199584961,1300.0,1310.0,44.849998474121094,219.5,285.0,128.0,178.0,53.29999923706055,74.19999694824219,95.5,103.0
2025-09-28,98.1500015258789,30.444000244140625,149.40499877929688,7.132800102233887,6.741720199584961,1300.0,1310.0,44.849998474121094,219.5,285.0,128.0,178.0,53.29999923706055,74.19999694824219,95.5,103.0
2025-09-29,97.91000366210938,30.458200454711914,148.59500122070312,7.1194000244140625,6.741720199584961,1300.0,1310.0,44.849998474121094,219.5,285.0,128.0,178.0,53.29999923706055,74.19999694824219,95.5,103.0
2025-09-30,97.7699966430664,30.442100524902344,147.9969940185547,7.11899995803833,6.741720199584961,1305.0,1315.0,45.54999923706055,216.0,290.0,140.5,179.0,53.0,74.30000305175781,94.9000015258789,101.5
